Date;Price;Ticker
06/04/2021;111,8;URTH
07/04/2021;111,87;URTH
08/04/2021;112,64;URTH
09/04/2021;113,13;URTH
12/04/2021;113,06;URTH
13/04/2021;113,64;URTH
14/04/2021;113,25;URTH
15/04/2021;114,47;URTH
16/04/2021;114,87;URTH
19/04/2021;114,4;URTH
20/04/2021;113,27;URTH
21/04/2021;114,25;URTH
22/04/2021;113,46;URTH
23/04/2021;114,66;URTH
26/04/2021;114,89;URTH
27/04/2021;114,8;URTH
28/04/2021;114,88;URTH
29/04/2021;115,25;URTH
30/04/2021;114,1;URTH
03/05/2021;114,7;URTH
04/05/2021;113,59;URTH
05/05/2021;114,05;URTH
06/05/2021;114,93;URTH
07/05/2021;116,06;URTH
10/05/2021;115,02;URTH
11/05/2021;113,82;URTH
12/05/2021;111,54;URTH
13/05/2021;112,79;URTH
14/05/2021;114,6;URTH
17/05/2021;114,19;URTH
18/05/2021;113,84;URTH
19/05/2021;113,22;URTH
20/05/2021;114,62;URTH
21/05/2021;114,63;URTH
24/05/2021;115,66;URTH
25/05/2021;115,44;URTH
26/05/2021;115,61;URTH
27/05/2021;115,71;URTH
28/05/2021;115,94;URTH
01/06/2021;116,06;URTH
02/06/2021;116,26;URTH
03/06/2021;115,78;URTH
04/06/2021;116,84;URTH
07/06/2021;117,04;URTH
08/06/2021;117,05;URTH
09/06/2021;116,84;URTH
10/06/2021;117,31;URTH
11/06/2021;117,64;URTH
14/06/2021;117,85;URTH
15/06/2021;117,61;URTH
16/06/2021;116,99;URTH
17/06/2021;116,79;URTH
18/06/2021;115,01;URTH
21/06/2021;116,56;URTH
22/06/2021;116,99;URTH
23/06/2021;116,69;URTH
24/06/2021;117,62;URTH
25/06/2021;117,93;URTH
28/06/2021;117,86;URTH
29/06/2021;117,96;URTH
30/06/2021;117,76;URTH
01/07/2021;118,22;URTH
02/07/2021;118,94;URTH
06/07/2021;118,61;URTH
07/07/2021;119,05;URTH
08/07/2021;117,72;URTH
09/07/2021;119,3;URTH
12/07/2021;119,81;URTH
13/07/2021;119,19;URTH
14/07/2021;119,46;URTH
15/07/2021;118,81;URTH
16/07/2021;117,95;URTH
19/07/2021;116,13;URTH
20/07/2021;117,61;URTH
21/07/2021;118,9;URTH
22/07/2021;119,08;URTH
23/07/2021;120,2;URTH
26/07/2021;120,27;URTH
27/07/2021;119,85;URTH
28/07/2021;120,07;URTH
29/07/2021;120,69;URTH
30/07/2021;119,86;URTH
02/08/2021;120,05;URTH
03/08/2021;120,84;URTH
04/08/2021;120,46;URTH
05/08/2021;121,19;URTH
06/08/2021;121,0;URTH
09/08/2021;121,02;URTH
